c random 100 vertices, 2475 edges, seed = 2
g 100 2475
e 1 2 1487
e 2 3 7544
e 3 4 1979
e 3 5 1515
e 1 6 3511
e 1 7 7521
e 7 8 2395
e 6 9 3663
e 2 10 4687
e 7 11 7860
e 10 12 7012
e 2 13 4311
e 13 14 3910
e 1 15 3834
e 10 16 883
e 8 17 806
e 13 18 2561
e 13 19 3820
e 15 20 3171
e 14 21 9480
e 1 22 4142
e 1 23 7167
e 3 24 6521
e 8 25 1682
e 21 26 8388
e 25 27 2732
e 11 28 4788
e 7 29 9503
e 12 30 9281
e 26 31 5647
e 3 32 7512
e 19 33 7709
e 4 34 1855
e 16 35 4509
e 27 36 8727
e 6 37 2486
e 1 38 6922
e 30 39 3305
e 31 40 873
e 39 41 9164
e 38 42 6990
e 16 43 7200
e 36 44 6240
e 15 45 2370
e 1 46 508
e 39 47 1386
e 42 48 4162
e 45 49 8201
e 11 50 5157
e 5 51 4566
e 17 52 7875
e 5 53 7362
e 14 54 2596
e 33 55 5681
e 16 56 9846
e 26 57 7501
e 47 58 609
e 23 59 5540
e 29 60 4455
e 11 61 1163
e 15 62 7589
e 7 63 4792
e 1 64 2707
e 28 65 6064
e 11 66 2821
e 30 67 4203
e 9 68 4427
e 6 69 9168
e 44 70 4790
e 39 71 8197
e 9 72 6593
e 24 73 9262
e 16 74 5770
e 2 75 603
e 51 76 7983
e 73 77 3107
e 67 78 7243
e 46 79 180
e 10 80 1311
e 12 81 5872
e 12 82 1016
e 39 83 2821
e 12 84 7252
e 4 85 6971
e 20 86 2674
e 40 87 3559
e 57 88 7497
e 59 89 8577
e 2 90 9163
e 59 91 8688
e 21 92 2401
e 1 93 4940
e 34 94 5835
e 32 95 619
e 24 96 5214
e 15 97 3967
e 56 98 2503
e 77 99 4085
e 4 100 2970
e 42 91 9594
e 42 60 6835
e 10 17 6499
e 73 94 5547
e 7 37 1631
e 20 26 5451
e 24 78 511
e 4 45 1673
e 85 88 74
e 42 70 1897
e 47 100 5984
e 19 73 6484
e 4 51 1007
e 9 90 2905
e 57 98 898
e 28 81 9335
e 12 96 5546
e 25 44 5400
e 65 83 3285
e 58 80 1907
e 44 88 4623
e 91 95 9925
e 46 67 85
e 34 35 6444
e 25 94 1541
e 25 97 3262
e 55 56 6295
e 6 58 93
e 33 88 7157
e 55 75 1901
e 9 43 2069
e 8 14 3062
e 8 73 2865
e 23 66 5663
e 89 94 3316
e 19 77 406
e 5 91 2317
e 55 80 649
e 58 66 7045
e 13 74 4521
e 76 93 8259
e 9 59 7708
e 47 55 2268
e 24 72 63
e 20 93 487
e 26 27 8769
e 88 90 4620
e 13 48 9781
e 11 42 4652
e 32 88 9610
e 55 79 9642
e 7 34 4817
e 43 52 1849
e 1 74 2254
e 32 54 5218
e 29 31 5451
e 86 91 5079
e 24 43 9155
e 1 73 2516
e 9 56 1318
e 38 95 7790
e 6 96 9713
e 46 50 8283
e 77 89 1360
e 7 17 9669
e 14 20 232
e 67 84 4558
e 16 27 3217
e 59 77 2417
e 20 95 1105
e 71 82 5542
e 4 7 1265
e 74 96 5354
e 5 68 5715
e 38 75 9980
e 35 61 7743
e 59 92 7116
e 63 71 9099
e 67 79 7803
e 44 79 5811
e 25 46 7612
e 42 55 2267
e 55 63 2993
e 50 67 1663
e 59 71 3550
e 20 23 4079
e 58 59 2627
e 9 30 1006
e 9 83 6635
e 42 72 1685
e 36 45 4963
e 42 50 2104
e 44 64 4666
e 22 37 1270
e 30 59 1474
e 83 84 9221
e 87 89 7457
e 22 75 9373
e 48 65 5368
e 11 51 779
e 43 57 538
e 61 93 4563
e 36 76 639
e 24 85 7312
e 82 84 8546
e 35 83 4562
e 52 95 2005
e 16 77 4311
e 9 20 1036
e 4 57 403
e 21 73 2821
e 38 60 8839
e 37 38 859
e 61 80 7782
e 36 87 11
e 84 89 1396
e 58 99 3998
e 32 87 8550
e 36 97 9556
e 64 73 5366
e 11 63 9406
e 56 74 7560
e 18 51 6721
e 49 79 9835
e 79 85 6158
e 43 49 2763
e 28 38 8253
e 13 67 588
e 38 70 1906
e 95 99 2962
e 39 53 4030
e 12 74 5867
e 80 94 5748
e 65 74 4820
e 13 41 2779
e 40 50 2917
e 11 18 7118
e 19 30 9110
e 1 44 4827
e 32 71 5320
e 39 65 8474
e 61 72 1057
e 40 81 4395
e 70 86 8357
e 80 84 9894
e 40 62 2608
e 13 42 4448
e 11 96 5968
e 24 95 2447
e 67 85 3113
e 50 63 8889
e 5 78 8293
e 10 43 1094
e 28 59 9658
e 10 55 8340
e 37 66 6152
e 15 54 5578
e 82 87 9161
e 24 38 5426
e 35 55 1048
e 6 31 1810
e 27 42 3830
e 58 83 3120
e 18 56 4138
e 83 92 6570
e 13 82 8183
e 41 87 5071
