c random 500 vertices, 5000 edges, seed = 2
g 500 5000
e 1 2 1487
e 2 3 7544
e 3 4 1979
e 3 5 1515
e 1 6 3511
e 1 7 7521
e 7 8 2395
e 6 9 3663
e 2 10 4687
e 7 11 7860
e 10 12 7012
e 2 13 4311
e 13 14 3910
e 1 15 3834
e 10 16 883
e 8 17 806
e 13 18 2561
e 13 19 3820
e 15 20 3171
e 14 21 9480
e 1 22 4142
e 1 23 7167
e 3 24 6521
e 8 25 1682
e 21 26 8388
e 25 27 2732
e 11 28 4788
e 7 29 9503
e 12 30 9281
e 26 31 5647
e 3 32 7512
e 19 33 7709
e 4 34 1855
e 16 35 4509
e 27 36 8727
e 6 37 2486
e 1 38 6922
e 30 39 3305
e 31 40 873
e 39 41 9164
e 38 42 6990
e 16 43 7200
e 36 44 6240
e 15 45 2370
e 1 46 508
e 39 47 1386
e 42 48 4162
e 45 49 8201
e 11 50 5157
e 5 51 4566
e 17 52 7875
e 5 53 7362
e 14 54 2596
e 33 55 5681
e 16 56 9846
e 26 57 7501
e 47 58 609
e 23 59 5540
e 29 60 4455
e 11 61 1163
e 15 62 7589
e 7 63 4792
e 1 64 2707
e 28 65 6064
e 11 66 2821
e 30 67 4203
e 9 68 4427
e 6 69 9168
e 44 70 4790
e 39 71 8197
e 9 72 6593
e 24 73 9262
e 16 74 5770
e 2 75 603
e 51 76 7983
e 73 77 3107
e 67 78 7243
e 46 79 180
e 10 80 1311
e 12 81 5872
e 12 82 1016
e 39 83 2821
e 12 84 7252
e 4 85 6971
e 20 86 2674
e 40 87 3559
e 57 88 7497
e 59 89 8577
e 2 90 9163
e 59 91 8688
e 21 92 2401
e 1 93 4940
e 34 94 5835
e 32 95 619
e 24 96 5214
e 15 97 3967
e 56 98 2503
e 77 99 4085
e 4 100 2970
e 91 101 6341
e 43 102 6641
e 102 103 6835
e 101 104 5516
e 100 105 9393
e 38 106 5547
e 11 107 7336
e 83 108 1419
e 38 109 5451
e 35 110 1323
e 82 111 8903
e 88 112 1673
e 77 113 5487
e 55 114 3441
e 12 115 1897
e 15 116 6946
e 21 117 8618
e 4 118 6484
e 19 119 4803
e 44 120 1089
e 30 121 2808
e 117 122 2905
e 82 123 2356
e 79 124 4727
e 29 125 9335
e 121 126 3211
e 53 127 8900
e 59 128 790
e 20 129 6424
e 32 130 9164
e 23 131 3285
e 124 132 9779
e 96 133 5643
e 38 134 4623
e 45 135 4694
e 21 136 9045
e 35 137 85
e 3 138 6620
e 79 139 3734
e 31 140 6444
e 14 141 624
e 87 142 6596
e 131 143 3262
e 69 144 5955
e 120 145 1205
e 98 146 93
e 123 147 4287
e 35 148 7074
e 115 149 1901
e 79 150 5408
e 70 151 9207
e 81 152 3062
e 64 153 7872
e 32 154 2722
e 110 155 5663
e 129 156 6988
e 121 157 7818
e 54 158 406
e 63 159 504
e 118 160 54
e 140 161 649
e 88 162 1457
e 2 163 2073
e 19 164 4521
e 36 165 3992
e 160 166 9908
e 77 167 7708
e 145 168 3754
e 53 169 3371
e 121 170 63
e 80 171 3092
e 78 172 2526
e 70 173 8769
e 16 174 189
e 145 175 1847
e 38 176 9781
e 114 177 9010
e 65 178 9131
e 90 179 9610
e 48 180 6554
e 163 181 3406
e 150 182 4817
e 171 183 3051
e 21 184 9718
e 41 185 9551
e 174 186 300
e 123 187 9731
e 111 188 5218
e 131 189 4328
e 98 190 8985
e 91 191 5079
e 109 192 4442
e 52 193 8972
e 102 194 2516
e 58 195 908
e 154 196 637
e 15 197 7790
e 23 198 1609
e 170 199 5105
e 118 200 9713
e 146 201 3449
e 93 202 8288
e 125 203 1360
e 22 204 1016
e 134 205 7619
e 54 206 232
e 199 207 1683
e 132 208 9615
e 183 209 3217
e 160 210 8358
e 28 211 5394
e 119 212 1105
e 62 213 1970
e 137 214 3206
e 202 215 1265
e 61 216 5773
e 27 217 4604
e 176 218 5715
e 78 219 4474
e 87 220 9660
e 175 221 7743
e 116 222 9058
e 101 223 170
e 6 224 9099
e 223 225 3978
e 29 226 4643
e 85 227 5811
e 144 228 5424
e 165 229 1141
e 179 230 2267
e 63 231 2154
e 18 232 2066
e 50 233 1663
e 28 234 1458
e 191 235 7134
e 54 236 4444
e 152 237 6222
e 71 238 9958
e 134 239 2627
e 111 240 7408
e 127 241 9508
e 131 242 6635
e 220 243 3141
e 194 244 1835
e 9 245 4963
e 175 246 2641
e 97 247 9663
e 179 248 4666
e 66 249 8436
e 79 250 3229
e 209 251 1474
e 182 252 8183
e 14 253 7786
e 86 254 7457
e 186 255 1669
e 236 256 3321
e 127 257 9373
e 61 258 1064
e 149 259 1650
e 231 260 779
e 117 261 4342
e 165 262 6560
e 59 263 4563
e 7 264 6135
e 152 265 8623
e 165 266 7312
e 12 267 3081
