c random 500 vertices, 5000 edges, seed = 1
g 500 5000
e 1 2 6139
e 1 3 3368
e 2 4 313
e 4 5 6341
e 5 6 4432
e 3 7 1249
e 6 8 3943
e 6 9 7340
e 4 10 9721
e 3 11 7716
e 2 12 9493
e 3 13 7204
e 5 14 5676
e 13 15 6652
e 15 16 254
e 3 17 6996
e 12 18 9703
e 8 19 6273
e 18 20 3166
e 13 21 6310
e 4 22 9929
e 14 23 7223
e 2 24 6445
e 7 25 8249
e 22 26 3664
e 1 27 8865
e 14 28 9320
e 10 29 723
e 21 30 7594
e 28 31 6008
e 26 32 6999
e 4 33 2358
e 22 34 5473
e 10 35 4627
e 8 36 9848
e 14 37 1323
e 27 38 42
e 25 39 848
e 6 40 4659
e 10 41 8370
e 33 42 8832
e 9 43 7545
e 8 44 3090
e 4 45 7671
e 17 46 6729
e 11 47 4118
e 21 48 6707
e 40 49 5342
e 35 50 7677
e 3 51 6187
e 15 52 8073
e 52 53 9446
e 21 54 6016
e 29 55 5050
e 38 56 2175
e 24 57 3655
e 51 58 4999
e 2 59 9372
e 49 60 6190
e 39 61 3680
e 38 62 3831
e 8 63 3217
e 48 64 4829
e 4 65 1504
e 48 66 3501
e 16 67 8406
e 14 68 9909
e 3 69 7458
e 40 70 5867
e 20 71 5019
e 45 72 7597
e 33 73 235
e 10 74 4379
e 9 75 2414
e 22 76 6455
e 40 77 2349
e 66 78 4281
e 11 79 3100
e 24 80 6816
e 14 81 8282
e 20 82 6140
e 42 83 2471
e 31 84 6824
e 43 85 1020
e 72 86 2064
e 59 87 1345
e 21 88 4332
e 26 89 8808
e 28 90 2163
e 36 91 4274
e 33 92 844
e 16 93 7074
e 86 94 6390
e 35 95 8889
e 22 96 2710
e 39 97 6738
e 30 98 5271
e 21 99 3494
e 76 100 9349
e 34 101 8586
e 86 102 3814
e 7 103 9046
e 97 104 4445
e 74 105 6866
e 88 106 85
e 99 107 6298
e 79 108 711
e 46 109 2472
e 80 110 2581
e 62 111 7728
e 18 112 4851
e 10 113 641
e 93 114 5069
e 1 115 2740
e 28 116 710
e 90 117 6552
e 35 118 4063
e 3 119 123
e 108 120 4786
e 120 121 9909
e 21 122 2612
e 78 123 488
e 32 124 8472
e 90 125 7483
e 47 126 3649
e 26 127 5021
e 48 128 2094
e 46 129 327
e 23 130 1116
e 9 131 1917
e 21 132 7652
e 83 133 814
e 94 134 4688
e 114 135 6815
e 38 136 9731
e 14 137 3469
e 89 138 2002
e 5 139 3731
e 115 140 9814
e 9 141 1277
e 129 142 8439
e 103 143 7775
e 25 144 3774
e 59 145 1800
e 31 146 435
e 63 147 6024
e 91 148 2653
e 71 149 6399
e 122 150 9200
e 133 151 6243
e 144 152 4305
e 131 153 7572
e 54 154 1951
e 19 155 4427
e 126 156 4115
e 112 157 6299
e 93 158 6043
e 141 159 7943
e 113 160 6037
e 80 161 9886
e 87 162 1875
e 105 163 1460
e 75 164 2640
e 104 165 6899
e 73 166 8259
e 84 167 1534
e 38 168 9343
e 96 169 2357
e 91 170 6687
e 142 171 3319
e 146 172 7194
e 15 173 4818
e 26 174 5858
e 67 175 993
e 81 176 880
e 93 177 5732
e 124 178 9937
e 162 179 3619
e 51 180 2732
e 3 181 4262
e 76 182 7546
e 176 183 2534
e 55 184 7366
e 145 185 9856
e 126 186 3934
e 65 187 9929
e 35 188 80
e 151 189 359
e 101 190 8723
e 58 191 9248
e 11 192 2051
e 112 193 6186
e 127 194 6708
e 108 195 1134
e 189 196 3845
e 131 197 2924
e 50 198 8616
e 145 199 192
e 36 200 5766
e 64 201 7431
e 198 202 4206
e 88 203 159
e 203 204 1381
e 153 205 6009
e 20 206 7461
e 83 207 1630
e 71 208 5692
e 150 209 2118
e 204 210 8470
e 31 211 6540
e 150 212 4091
e 23 213 9836
e 186 214 7623
e 210 215 701
e 41 216 7756
e 27 217 486
e 55 218 1952
e 74 219 6181
e 70 220 4593
e 48 221 2874
e 137 222 1973
e 38 223 4580
e 169 224 8987
e 12 225 3185
e 134 226 3503
e 221 227 9632
e 149 228 4356
e 63 229 7943
e 48 230 1398
e 131 231 5044
e 110 232 8054
e 213 233 7831
e 71 234 6611
e 40 235 5712
e 51 236 4934
e 206 237 8260
e 115 238 8518
e 141 239 1802
e 50 240 9225
e 91 241 479
e 178 242 9769
e 8 243 8089
e 22 244 845
e 107 245 6605
e 173 246 8268
e 243 247 5962
e 31 248 3929
e 45 249 7184
e 115 250 5614
e 96 251 3658
e 48 252 9097
e 252 253 1097
e 241 254 9970
e 152 255 2141
e 187 256 6845
e 47 257 5072
e 95 258 5448
e 19 259 7250
e 170 260 9021
e 134 261 473
e 51 262 6676
e 261 263 6178
e 19 264 6502
e 160 265 659
e 135 266 8776
e 190 267 4551
e 214 268 239
e 134 269 8786
e 122 270 6876
e 217 271 8939
e 127 272 7130
e 123 273 2056
e 168 274 7866
e 62 275 7792
e 43 276 2309
e 18 277 2173
e 32 278 2938
e 264 279 8502
e 233 280 8560
e 111 281 916
e 59 282 5515
e 228 283 9647
e 268 284 9248
e 51 285 7035
e 153 286 7190
e 53 287 2736
e 79 288 1809
e 39 289 9876
e 250 290 8827
e 7 291 8069
e 276 292 774
e 71 293 3406
e 282 294 466
e 267 295 2103
e 54 296 7376
e 80 297 7325
e 155 298 1725
e 64 299 8090
e 191 300 3608
e 279 301 7352
e 30 302 1696
e 115 303 2231
e 209 304 3900
e 193 305 4871
e 68 306 3729
e 209 307 1873
e 281 308 5468
e 130 309 3003
e 138 310 129
e 92 311 3257
e 151 312 422
e 197 313 6153
e 288 314 5918
e 262 315 3226
e 165 316 9089
e 163 317 5192
e 81 318 9669
e 292 319 1052
e 311 320 5549
e 145 321 5972
e 146 322 9350
e 292 323 8610
e 289 324 5747
e 103 325 1900
e 295 326 8428
e 143 327 2032
e 49 328 1087
e 77 329 7834
e 315 330 6188
e 285 331 3774
e 60 332 5477
e 77 333 7007
e 108 334 6972
e 124 335 476
e 233 336 7163
e 276 337 7916
e 184 338 5598
e 8 339 3477
e 113 340 9517
e 278 341 2004
e 310 342 7484
e 92 343 9138
e 257 344 3834
e 135 345 5106
e 157 346 246
e 45 347 7952
e 149 348 2513
e 263 349 3685
e 165 350 5910
