c random 100 vertices, 2475 edges, seed = 1
g 100 2475
e 1 2 6139
e 1 3 3368
e 2 4 313
e 4 5 6341
e 5 6 4432
e 3 7 1249
e 6 8 3943
e 6 9 7340
e 4 10 9721
e 3 11 7716
e 2 12 9493
e 3 13 7204
e 5 14 5676
e 13 15 6652
e 15 16 254
e 3 17 6996
e 12 18 9703
e 8 19 6273
e 18 20 3166
e 13 21 6310
e 4 22 9929
e 14 23 7223
e 2 24 6445
e 7 25 8249
e 22 26 3664
e 1 27 8865
e 14 28 9320
e 10 29 723
e 21 30 7594
e 28 31 6008
e 26 32 6999
e 4 33 2358
e 22 34 5473
e 10 35 4627
e 8 36 9848
e 14 37 1323
e 27 38 42
e 25 39 848
e 6 40 4659
e 10 41 8370
e 33 42 8832
e 9 43 7545
e 8 44 3090
e 4 45 7671
e 17 46 6729
e 11 47 4118
e 21 48 6707
e 40 49 5342
e 35 50 7677
e 3 51 6187
e 15 52 8073
e 52 53 9446
e 21 54 6016
e 29 55 5050
e 38 56 2175
e 24 57 3655
e 51 58 4999
e 2 59 9372
e 49 60 6190
e 39 61 3680
e 38 62 3831
e 8 63 3217
e 48 64 4829
e 4 65 1504
e 48 66 3501
e 16 67 8406
e 14 68 9909
e 3 69 7458
e 40 70 5867
e 20 71 5019
e 45 72 7597
e 33 73 235
e 10 74 4379
e 9 75 2414
e 22 76 6455
e 40 77 2349
e 66 78 4281
e 11 79 3100
e 24 80 6816
e 14 81 8282
e 20 82 6140
e 42 83 2471
e 31 84 6824
e 43 85 1020
e 72 86 2064
e 59 87 1345
e 21 88 4332
e 26 89 8808
e 28 90 2163
e 36 91 4274
e 33 92 844
e 16 93 7074
e 86 94 6390
e 35 95 8889
e 22 96 2710
e 39 97 6738
e 30 98 5271
e 21 99 3494
e 76 100 9349
e 34 87 9172
e 15 29 9046
e 26 46 1937
e 38 67 85
e 17 99 1712
e 12 26 2472
e 74 82 9031
e 29 58 4851
e 42 62 7022
e 21 70 2740
e 11 88 9101
e 53 96 4063
e 17 24 5561
e 20 87 9909
e 13 18 5333
e 46 89 8472
e 84 94 1921
e 8 50 5021
e 95 97 5149
e 28 37 1116
e 18 79 6899
e 19 53 814
e 47 89 9501
e 16 48 9731
e 70 86 401
e 3 89 3731
e 15 17 3008
e 29 78 8439
e 39 76 4540
e 55 75 1800
e 36 46 3744
e 25 29 2653
e 71 100 6121
e 1 33 6243
e 6 93 202
e 9 73 1951
e 23 28 830
e 16 32 6299
e 27 44 7590
e 32 44 6037
e 87 100 8300
e 71 76 1460
e 9 41 5843
e 13 100 8259
e 35 66 2822
e 28 44 2357
e 88 100 8321
e 20 53 7194
e 19 59 6776
e 5 33 3390
e 38 40 3619
e 33 38 9542
e 6 63 7546
e 17 67 9856
e 35 51 4540
e 11 30 80
e 60 75 1808
e 24 78 9248
e 37 52 719
e 84 87 6708
e 35 84 9423
e 46 51 2924
e 17 40 7496
e 63 93 5766
e 32 64 5356
e 7 46 159
e 54 82 5876
e 10 95 7461
e 31 35 3789
e 42 93 2118
e 40 71 60
e 41 49 4091
e 37 83 3895
e 24 60 701
e 56 57 2482
e 48 87 1952
e 28 94 2874
e 74 77 2185
e 62 81 8987
e 44 86 2658
e 4 11 9632
e 57 67 4654
e 17 44 1398
e 45 71 691
e 9 55 7831
e 12 95 3135
e 13 46 4934
e 61 82 4903
e 19 35 1802
e 26 57 7050
e 34 80 9769
e 86 90 7848
e 15 46 6605
e 69 93 3906
e 63 72 3929
e 17 85 8448
e 15 96 3658
e 77 98 8579
e 46 98 9970
e 42 70 5876
e 46 47 5072
e 32 49 6748
e 51 72 9021
e 74 94 8948
e 65 77 6178
e 3 82 3055
e 60 95 8776
e 46 52 5920
e 19 77 1326
e 40 91 7130
e 57 91 3349
e 67 84 7792
e 10 93 2649
e 3 92 870
e 61 91 916
e 16 64 1619
e 32 48 9248
e 36 63 6737
e 15 91 2736
e 10 43 5622
e 75 77 8827
e 70 97 7972
e 3 75 3406
e 67 90 8686
e 4 54 7376
e 4 26 1979
e 20 26 8090
e 37 53 1696
e 32 79 2386
e 1 73 4871
e 30 53 4426
e 67 74 5468
e 4 42 9077
e 30 42 3257
e 23 79 4836
e 54 81 5918
e 20 27 8629
e 75 90 5192
e 33 70 8307
e 26 53 5549
e 65 73 6664
e 4 51 8610
e 1 95 8428
e 29 33 9741
e 13 88 7834
e 75 89 8514
e 64 75 5477
e 8 9 3792
e 73 84 476
e 64 68 8451
e 17 69 5598
e 72 78 147
e 18 38 2004
e 84 85 5667
e 11 39 3834
e 14 59 4350
e 3 86 5910
e 68 78 152
e 6 49 7909
e 3 4 4229
e 26 63 4945
e 8 56 2317
e 47 68 2766
e 20 46 3907
e 88 91 2689
e 48 76 256
e 90 98 5090
e 12 99 7638
e 53 93 2154
e 15 89 3039
e 70 76 7890
e 1 62 6344
e 36 81 5686
e 16 54 839
e 55 96 8156
e 1 71 5985
e 72 100 4423
e 5 56 1320
e 20 33 572
e 11 19 4723
e 1 11 5974
e 8 98 2543
e 11 58 620
e 53 66 5910
e 31 66 4580
e 36 87 7057
e 87 96 3657
e 26 70 5915
e 27 68 8783
e 16 69 5756
e 24 96 8109
e 48 52 6159
e 37 91 1498
e 59 80 5573
e 22 30 5167
e 28 50 8975
e 43 71 5341
e 19 56 5384
e 29 45 4465
e 25 53 513
e 4 95 71
e 73 75 8084
e 65 95 8193
e 49 81 9861
e 31 47 4734
e 9 66 9891
e 1 7 5778
e 6 24 7851
e 30 81 1052
e 38 65 256
e 48 79 5969
e 23 100 1778
e 5 86 5549
e 51 52 2306
e 73 98 2046
e 1 98 6434
e 26 65 1975
e 25 64 2169
e 20 50 5473
e 54 86 212
e 6 27 2171
e 9 67 1345
e 19 82 8847
e 46 62 5666
e 59 73 491
e 95 100 3807
e 16 59 5875
e 27 93 240
e 26 74 1216
e 90 95 8872
e 17 96 4504
e 73 78 1200
e 5 98 9544
e 10 94 1595
e 79 84 382
e 19 81 1325
e 61 90 413
e 41 55 8899
e 18 39 3049
e 41 61 4369
e 19 63 305
e 14 72 6783
e 9 20 735
e 38 75 7887
e 19 39 3160
e 82 83 5248
e 37 78 3006
e 50 92 9652
e 17 29 6888
e 3 35 6898
