c random 500 vertices, 5000 edges, seed = 3
g 500 5000
e 1 2 1048
e 2 3 3667
e 2 4 2280
e 1 5 3525
e 2 6 6739
e 5 7 2091
e 1 8 7689
e 3 9 2149
e 4 10 614
e 1 11 4884
e 3 12 29
e 4 13 206
e 11 14 6218
e 12 15 714
e 5 16 5170
e 3 17 9871
e 3 18 9233
e 16 19 7482
e 5 20 5800
e 3 21 7441
e 5 22 8874
e 7 23 3595
e 21 24 2871
e 17 25 5483
e 23 26 7451
e 20 27 9536
e 2 28 404
e 23 29 5425
e 15 30 9103
e 17 31 8612
e 23 32 6263
e 23 33 9392
e 22 34 4457
e 25 35 3108
e 4 36 9525
e 1 37 8216
e 35 38 4117
e 10 39 1550
e 9 40 9201
e 10 41 5
e 35 42 9159
e 25 43 1723
e 35 44 3700
e 36 45 1051
e 18 46 3135
e 19 47 5840
e 25 48 5970
e 19 49 6683
e 6 50 3472
e 26 51 2029
e 3 52 9742
e 33 53 9213
e 39 54 4276
e 34 55 9292
e 21 56 7810
e 45 57 420
e 50 58 9512
e 13 59 6736
e 58 60 9354
e 51 61 1728
e 51 62 7979
e 24 63 9941
e 25 64 6024
e 41 65 3063
e 52 66 3568
e 61 67 9529
e 55 68 2335
e 12 69 5996
e 44 70 727
e 28 71 3860
e 20 72 8944
e 17 73 1964
e 4 74 4044
e 43 75 8923
e 37 76 2784
e 57 77 2034
e 52 78 3426
e 66 79 1027
e 15 80 1218
e 5 81 1745
e 81 82 6831
e 29 83 6455
e 41 84 260
e 63 85 5921
e 11 86 8204
e 26 87 7575
e 10 88 9537
e 60 89 1248
e 22 90 1420
e 69 91 9296
e 90 92 1813
e 8 93 5896
e 34 94 7384
e 71 95 7374
e 27 96 3827
e 5 97 6089
e 47 98 5394
e 13 99 7941
e 2 100 503
e 60 101 7913
e 71 102 9537
e 6 103 2864
e 7 104 2782
e 21 105 1031
e 39 106 1236
e 16 107 7386
e 83 108 844
e 91 109 3016
e 6 110 7678
e 53 111 8686
e 42 112 8452
e 49 113 5013
e 26 114 1863
e 19 115 927
e 103 116 8407
e 77 117 7649
e 104 118 1957
e 70 119 1914
e 119 120 6844
e 108 121 2982
e 18 122 6396
e 100 123 1555
e 106 124 1181
e 44 125 5588
e 62 126 3390
e 10 127 5881
e 107 128 4813
e 97 129 8696
e 23 130 1695
e 3 131 8519
e 120 132 1496
e 62 133 1846
e 98 134 6380
e 47 135 3372
e 56 136 2702
e 75 137 6443
e 38 138 4997
e 119 139 5185
e 125 140 4329
e 11 141 8411
e 100 142 6680
e 42 143 155
e 75 144 8069
e 78 145 4960
e 86 146 1550
e 70 147 7671
e 137 148 402
e 30 149 2226
e 69 150 2862
e 50 151 3946
e 63 152 5902
e 23 153 5084
e 3 154 6934
e 126 155 9737
e 46 156 8997
e 4 157 460
e 33 158 8133
e 35 159 1625
e 77 160 9324
e 35 161 6447
e 48 162 269
e 79 163 344
e 163 164 6868
e 82 165 8179
e 78 166 6101
e 35 167 1212
e 147 168 1379
e 9 169 2180
e 78 170 747
e 50 171 55
e 170 172 8626
e 25 173 7127
e 112 174 7557
e 59 175 4574
e 108 176 6003
e 59 177 3603
e 87 178 2997
e 109 179 7044
e 111 180 167
e 162 181 2828
e 96 182 2242
e 37 183 2678
e 147 184 6579
e 173 185 5997
e 26 186 8871
e 148 187 8573
e 58 188 800
e 165 189 9020
e 144 190 1065
e 85 191 7994
e 113 192 3428
e 62 193 6330
e 156 194 421
e 157 195 688
e 21 196 6877
e 98 197 9876
e 126 198 1149
e 28 199 3005
e 179 200 8839
e 138 201 6726
e 102 202 6909
e 65 203 4209
e 191 204 855
e 5 205 7251
e 168 206 4205
e 34 207 5603
e 196 208 9038
e 70 209 4790
e 203 210 8043
e 175 211 4241
e 177 212 5013
e 88 213 4550
e 113 214 5519
e 65 215 4846
e 118 216 6341
e 39 217 9887
e 189 218 4992
e 203 219 4418
e 206 220 8950
e 191 221 1387
e 29 222 9149
e 220 223 7861
e 25 224 3580
e 184 225 929
e 35 226 8052
e 32 227 1338
e 210 228 8595
e 66 229 3802
e 110 230 2995
e 16 231 1829
e 157 232 7534
e 182 233 4958
e 87 234 2658
e 139 235 8836
e 235 236 6259
e 43 237 8722
e 75 238 6497
e 15 239 6764
e 5 240 8453
e 121 241 4051
e 27 242 2770
e 79 243 8997
e 89 244 3233
e 128 245 651
e 184 246 7987
e 35 247 4345
e 52 248 2629
e 201 249 5815
e 43 250 2700
e 193 251 3566
e 249 252 2762
e 13 253 2795
e 55 254 2161
e 229 255 4980
e 143 256 990
e 166 257 4934
e 194 258 6228
e 222 259 7223
e 8 260 6976
e 9 261 4194
e 190 262 6280
e 58 263 9708
e 234 264 4667
e 61 265 216
e 202 266 6850
e 56 267 5480
e 140 268 9914
e 45 269 1018
e 22 270 5980
e 27 271 9728
e 136 272 1207
e 27 273 2921
e 258 274 8411
e 45 275 6908
e 258 276 7990
e 10 277 4516
e 256 278 9276
e 24 279 8995
e 53 280 6662
e 180 281 4081
e 250 282 7483
e 86 283 5150
e 215 284 4369
e 154 285 7281
e 12 286 5529
e 122 287 3280
e 239 288 849
e 117 289 88
e 85 290 5237
e 281 291 3204
e 187 292 7429
e 146 293 6288
e 175 294 8858
e 230 295 900
e 103 296 8527
e 228 297 4790
e 290 298 8391
e 254 299 7249
e 74 300 2253
e 147 301 6476
e 81 302 5788
e 10 303 4348
