c random 50 vertices, 612 edges, seed = 2
g 50 612
e 1 2 1487
e 2 3 7544
e 3 4 1979
e 3 5 1515
e 1 6 3511
e 1 7 7521
e 7 8 2395
e 6 9 3663
e 2 10 4687
e 7 11 7860
e 10 12 7012
e 2 13 4311
e 13 14 3910
e 1 15 3834
e 10 16 883
e 8 17 806
e 13 18 2561
e 13 19 3820
e 15 20 3171
e 14 21 9480
e 1 22 4142
e 1 23 7167
e 3 24 6521
e 8 25 1682
e 21 26 8388
e 25 27 2732
e 11 28 4788
e 7 29 9503
e 12 30 9281
e 26 31 5647
e 3 32 7512
e 19 33 7709
e 4 34 1855
e 16 35 4509
e 27 36 8727
e 6 37 2486
e 1 38 6922
e 30 39 3305
e 31 40 873
e 39 41 9164
e 38 42 6990
e 16 43 7200
e 36 44 6240
e 15 45 2370
e 1 46 508
e 39 47 1386
e 42 48 4162
e 45 49 8201
e 11 50 5157
e 5 17 6230
e 1 26 7362
e 10 47 5080
e 32 46 9846
e 2 24 8149
e 10 17 5540
e 6 33 710
e 14 45 7589
e 8 45 7755
e 22 28 9661
e 19 31 4790
e 39 48 5403
e 26 44 9262
e 4 26 7983
e 8 33 6982
e 42 44 180
e 5 12 6091
e 23 43 1016
e 22 25 6028
e 3 48 6971
e 25 45 6985
e 10 46 7497
e 28 33 9599
e 9 14 8688
e 2 12 9784
e 41 49 5835
e 20 36 3518
e 15 33 3967
e 4 33 656
e 8 36 2970
e 41 42 9594
e 10 42 6835
e 23 44 5547
e 7 37 1631
e 20 26 5451
e 24 28 511
e 4 45 1673
e 35 38 74
e 20 42 1897
e 47 50 5984
e 19 23 6484
e 1 4 1007
e 9 40 2905
e 7 48 898
e 28 31 9335
e 12 46 5546
e 1 43 790
e 25 44 5400
e 8 30 1907
e 38 44 4623
e 41 45 9925
e 17 46 85
e 34 35 6444
e 25 47 3262
e 5 6 6295
e 6 8 93
e 33 38 7157
e 5 25 1901
e 9 43 2069
e 8 14 3062
e 8 23 2865
e 16 23 5663
e 39 44 3316
e 19 27 406
e 5 41 2317
e 5 30 649
e 8 16 7045
e 13 24 4521
e 26 43 8259
e 9 47 3754
e 19 22 8623
e 14 20 3092
e 27 38 7125
e 20 38 189
e 21 48 1012
e 32 42 9010
e 11 29 6554
e 7 43 6733
e 18 43 3051
e 19 50 2672
e 5 32 7653
e 2 36 9290
e 24 30 4442
e 6 23 0
e 6 17 908
e 19 38 2594
e 30 41 1609
e 6 26 9295
e 14 46 3449
e 34 39 6376
e 14 33 1966
e 9 34 9615
e 18 27 2876
e 9 18 5394
e 6 20 5581
e 21 43 3206
e 4 16 1395
e 5 24 4604
e 16 18 637
e 25 31 9660
e 35 44 291
e 9 17 170
e 13 50 7566
e 4 29 4643
e 12 29 45
e 13 25 1141
e 5 18 4462
e 5 44 2066
e 14 50 7670
e 1 9 7134
e 34 45 4819
e 23 30 9958
e 8 28 4329
e 7 9 9508
e 33 36 4871
e 36 42 1835
e 5 42 9663
e 17 44 1121
e 21 37 3229
e 9 25 6982
e 22 34 7786
e 8 39 6943
e 20 21 3321
e 24 25 9647
e 15 19 1650
e 11 30 9056
e 39 43 6560
e 14 43 9475
e 36 40 8623
e 13 35 2783
e 32 47 9182
e 2 6 6758
e 23 39 5376
e 12 16 4819
e 9 37 5103
e 4 7 7720
e 22 23 359
e 38 40 836
e 10 38 2479
e 11 33 1086
e 12 36 4983
e 32 37 8550
e 36 47 9556
e 14 23 5366
e 11 13 9406
e 6 24 7560
e 1 18 6721
e 29 49 9835
e 6 19 1545
e 29 35 6158
e 43 49 2763
e 28 38 8253
e 13 17 588
e 3 39 4030
e 12 24 5867
e 20 43 7651
e 30 44 5748
e 15 24 4820
e 13 41 2779
e 40 50 2917
e 11 18 7118
e 19 30 9110
e 1 44 4827
e 21 32 5320
e 15 39 8474
e 11 22 1057
e 30 34 9894
e 12 40 2608
e 13 42 4448
e 11 46 5968
e 24 45 2447
e 17 35 3113
e 5 28 8293
e 10 43 1094
e 9 28 9658
e 5 10 8340
e 16 37 6152
e 4 15 5578
e 24 38 5426
e 5 35 1048
e 6 31 1810
e 27 42 3830
e 6 18 4138
e 33 42 6570
e 13 32 8183
e 37 41 5071
e 21 41 9711
e 12 28 6459
e 28 42 5270
e 7 15 1761
e 48 49 6133
e 13 20 9150
e 20 25 7865
e 10 27 6657
e 8 21 6427
e 35 49 2921
e 4 8 9491
e 39 40 6531
e 16 33 2214
e 27 34 6752
e 16 40 1323
e 26 35 5421
e 2 9 3824
e 2 30 4132
e 3 7 9038
e 32 36 4584
e 23 50 9062
e 15 46 4909
e 7 33 7426
e 14 29 2042
e 2 22 6132
e 17 28 3646
e 13 47 5890
e 17 18 3949
e 8 22 6066
e 7 39 2963
e 14 49 187
