c random 100 vertices, 1237 edges, seed = 0
g 100 1237
e 1 2 8239
e 2 3 3760
e 2 4 8379
e 4 5 8503
e 3 6 5683
e 6 7 6866
e 2 8 1399
e 7 9 376
e 1 10 9868
e 5 11 6033
e 3 12 8119
e 12 13 6254
e 10 14 7841
e 2 15 969
e 10 16 5480
e 10 17 7012
e 4 18 5360
e 2 19 85
e 6 20 1999
e 12 21 6288
e 12 22 1043
e 21 23 5489
e 18 24 3757
e 20 25 5395
e 8 26 3671
e 17 27 5969
e 15 28 441
e 4 29 9280
e 12 30 9706
e 27 31 8327
e 6 32 1326
e 12 33 9474
e 11 34 6700
e 29 35 7632
e 4 36 5012
e 18 37 8645
e 7 38 3080
e 1 39 7521
e 10 40 916
e 2 41 490
e 5 42 7519
e 27 43 7633
e 3 44 5863
e 2 45 8233
e 35 46 5078
e 42 47 1083
e 37 48 1858
e 44 49 2416
e 46 50 2835
e 28 51 7212
e 9 52 5946
e 13 53 6315
e 34 54 5750
e 43 55 3071
e 43 56 7108
e 12 57 9084
e 15 58 8148
e 57 59 9534
e 5 60 260
e 8 61 5514
e 19 62 1663
e 34 63 9157
e 50 64 1120
e 50 65 8389
e 24 66 6611
e 53 67 1231
e 31 68 9758
e 65 69 3601
e 18 70 6084
e 31 71 1984
e 29 72 2227
e 67 73 10
e 23 74 2784
e 38 75 4069
e 56 76 6399
e 65 77 3962
e 56 78 2971
e 45 79 2239
e 69 80 2011
e 51 81 7273
e 20 82 5166
e 66 83 1326
e 58 84 3971
e 31 85 7694
e 77 86 7220
e 2 87 5042
e 84 88 5118
e 26 89 1818
e 22 90 5412
e 89 91 2150
e 4 92 6728
e 8 93 1682
e 37 94 1760
e 31 95 5878
e 7 96 7398
e 84 97 7118
e 48 98 195
e 47 99 3884
e 39 100 3677
e 43 85 9869
e 19 96 8606
e 44 75 8333
e 1 65 3512
e 16 52 712
e 3 79 5144
e 9 24 5836
e 46 79 9568
e 16 41 621
e 4 81 1718
e 22 42 9181
e 33 48 6832
e 93 94 4533
e 38 87 8288
e 21 66 1830
e 14 66 1795
e 34 97 3552
e 33 36 475
e 70 75 3973
e 4 58 1943
e 21 49 6047
e 39 46 3432
e 68 95 2843
e 23 56 8845
e 70 94 8191
e 41 79 9096
e 38 65 8067
e 20 87 3843
e 5 19 5574
e 20 55 5774
e 30 50 8455
e 1 68 5963
e 53 61 3018
e 12 47 9349
e 77 82 3039
e 27 29 8235
e 12 34 2775
e 4 46 206
e 33 78 9085
e 48 68 9063
e 6 62 3769
e 76 80 9966
e 11 91 3756
e 92 96 6585
e 12 71 1597
e 28 92 9645
e 42 90 3852
e 71 91 6696
e 74 90 8536
e 1 32 1824
e 76 87 9189
e 66 71 3454
e 1 75 6808
e 38 86 6417
e 17 80 9432
e 56 97 3380
e 61 65 8585
e 44 88 1996
e 31 48 4062
e 26 86 2001
e 38 55 6461
e 61 62 6370
e 70 82 8524
e 86 93 3533
e 15 32 8395
e 6 76 1671
e 3 56 5214
e 94 95 5767
e 25 99 1787
e 22 64 4505
e 34 91 4965
e 28 89 153
e 68 85 9953
e 67 86 5440
e 95 100 6048
e 3 21 5390
e 9 97 479
e 72 100 4872
e 37 80 2749
e 48 75 6471
e 29 36 9448
e 40 88 5037
e 6 15 24
e 13 56 9648
e 22 53 1770
e 23 63 8588
e 15 57 5108
e 16 91 9242
e 4 8 184
e 22 78 4613
e 37 81 6223
e 52 74 827
e 57 96 5484
e 63 78 9610
e 13 87 8881
e 16 76 4947
e 26 75 917
e 4 47 2958
e 15 82 5067
e 24 77 4492
e 22 31 5783
e 27 74 2762
e 17 30 8606
e 17 64 3370
e 9 96 4090
e 23 38 3753
e 6 13 4729
e 3 23 5799
e 41 74 6072
e 28 85 7096
e 3 89 5775
e 39 94 1351
e 58 77 3090
e 81 85 904
e 87 94 5991
e 49 57 8964
e 5 66 1127
e 39 91 2537
e 2 65 3477
e 44 86 1867
e 18 78 2307
e 36 50 5107
e 23 31 6807
e 58 82 3545
e 17 67 323
e 1 33 8785
e 82 85 288
e 8 55 4282
e 26 69 4212
e 57 85 7392
e 19 84 2765
e 17 71 7995
e 52 88 4783
e 13 44 4255
e 40 52 7980
e 71 82 7914
e 34 47 9115
e 21 60 4820
e 63 86 2097
e 33 55 3235
e 11 58 4499
e 39 58 1336
e 6 37 1132
e 9 71 880
e 9 70 3027
e 14 74 8805
e 30 84 1341
e 13 43 4182
e 29 32 1187
e 16 62 7196
e 8 15 9620
e 60 76 1263
e 38 77 5195
e 36 51 5209
e 24 96 389
e 25 26 648
e 16 79 4032
e 61 76 8358
e 38 63 9907
e 11 68 9991
e 21 48 5242
e 61 79 4835
e 8 94 4402
e 6 90 3876
e 26 30 8555
e 48 82 7714
e 22 25 9209
e 20 56 6708
e 59 66 1508
e 22 87 4413
e 15 90 9031
e 31 96 9305
e 15 24 730
e 3 11 9804
e 96 99 3850
e 4 91 5294
e 14 37 1436
e 27 64 3176
e 7 93 5339
e 90 92 9598
e 34 71 7653
e 4 43 1289
e 22 83 9739
e 87 92 3916
e 38 50 4018
e 39 57 6814
e 10 60 8230
e 67 85 4654
e 3 66 1969
e 41 57 2281
e 27 57 4024
e 14 88 4426
e 5 95 4843
e 9 77 6417
e 1 30 8072
e 51 76 9171
e 5 15 5461
e 12 52 9624
e 15 37 1526
e 21 56 4278
e 49 55 9772
e 78 91 5931
e 6 18 7385
e 63 85 7885
e 48 62 863
e 4 86 1261
e 7 24 9800
e 82 91 9413
e 58 70 390
e 21 34 846
e 14 96 2815
e 26 82 9430
e 65 99 42
e 40 75 5070
e 19 65 9655
e 10 26 3119
e 47 88 4867
e 31 43 6009
e 84 90 5923
e 23 62 6690
e 66 87 6852
e 2 54 2655
e 75 97 7859
e 18 33 9268
e 86 91 9399
e 58 65 1778
e 18 35 6769
e 14 64 5851
e 29 31 4756
e 30 88 353
e 65 66 9894
e 35 43 8624
e 47 100 8743
e 78 85 7566
e 72 83 8244
e 27 97 5721
e 43 73 2935
e 41 64 8956
e 30 65 3357
e 53 86 8450
e 48 86 9367
e 34 79 8942
e 16 86 538
e 9 11 6961
e 72 81 8864
e 65 87 9447
e 73 89 8466
e 14 23 8674
e 13 81 6217
e 79 93 6468
e 47 66 5084
e 14 49 277
e 41 92 9210
e 2 95 8115
e 63 94 4312
e 15 25 6526
e 1 89 8674
e 1 78 5495
e 40 43 8156
e 5 91 1059
e 13 68 5149
e 1 71 9962
e 7 48 9963
e 40 42 7414
e 47 52 3122
e 39 79 4676
e 47 64 4624
e 26 41 6233
e 14 47 4204
e 19 24 9329
e 8 57 5061
e 62 63 5738
e 54 87 8166
e 15 47 1963
e 38 95 4382
e 47 87 8579
e 41 55 1053
e 2 68 4392
e 65 82 8421
e 60 94 7691
e 32 83 5964
e 16 57 8485
e 13 39 3257
e 27 34 7068
e 9 18 8229
e 55 93 5008
e 69 71 2046
e 14 84 3295
e 54 66 6459
e 12 86 5216
e 9 29 3584
e 39 51 5180
e 2 77 989
e 59 76 86
e 38 88 9252
e 4 76 1780
e 37 74 3452
e 47 94 8163
e 47 81 1879
e 5 77 1229
e 40 57 1935
e 11 85 2803
e 2 48 2368
e 18 65 8484
e 61 94 8591
e 47 89 56
e 22 65 8869
e 14 54 4380
e 80 91 198
e 51 90 9412
e 37 73 1847
e 39 44 8107
e 8 79 2205
e 67 83 6430
e 53 99 7115
e 28 52 3470
e 27 68 7242
e 23 71 9425
e 12 48 9693
e 56 85 7573
e 37 38 157
e 44 82 219
e 49 65 6113
e 18 61 3044
e 14 94 4640
e 17 55 4168
e 19 87 623
e 21 28 4692
e 3 55 6923
e 10 39 8685
e 82 93 1932
e 10 52 6232
e 28 95 4366
e 6 50 4766
e 55 78 638
e 1 21 8019
e 16 30 4364
e 46 60 7288
e 48 53 5813
e 4 88 4394
e 18 90 5334
e 29 52 9599
e 14 58 65
e 51 82 374
e 16 100 7638
e 76 98 1899
e 22 48 343
e 59 61 839
e 55 76 3520
e 73 87 3687
e 90 99 3410
e 19 21 7925
e 11 15 660
e 26 90 7707
e 25 62 7877
e 19 88 4424
e 36 78 1572
e 78 87 3159
e 81 94 3256
e 19 99 83
e 42 93 7425
e 30 59 6228
e 47 75 105
e 30 62 5769
e 65 94 6839
e 69 93 6047
e 4 19 6354
e 11 66 3011
e 33 80 2497
e 22 54 4575
e 3 34 5577
e 2 53 9446
e 1 92 9143
e 52 79 6058
e 15 63 669
e 6 83 3209
e 36 80 6510
e 48 97 9943
e 99 100 4579
e 30 91 6483
e 16 98 3105
e 16 64 5837
e 27 28 8680
e 21 36 3208
e 50 85 9059
e 30 35 5965
e 7 80 2318
e 42 59 860
e 18 100 7127
e 47 98 4075
e 60 70 768
e 4 41 6151
e 48 64 7601
e 3 62 9452
e 2 29 4328
e 2 89 7522
e 4 97 8149
e 42 84 2215
e 28 88 3418
e 6 93 5020
e 26 67 4814
e 72 82 6876
e 18 32 8023
e 22 81 9760
e 19 97 136
e 8 17 4534
e 9 78 1663
e 4 60 9791
e 12 90 6188
e 18 87 2676
e 7 30 5027
e 13 37 6833
e 67 81 3979
e 56 95 3778
e 62 95 3327
e 56 69 6743
e 32 69 8873
e 31 65 3676
e 15 54 2510
e 35 41 6327
e 9 20 7851
e 22 52 9708
